student_id,age,gender,city,course_stream,study_hours_per_week,attendance_rate,prior_gpa_10pt,has_internet,device_type,parental_education,test_score,admission_date,fee_paid_inr,scholarship,comments,attendance_rate_pct,attendance_category,gpa_band,study_hours_bin,study_hours_qbin
S0001,24,Female,Mumbai,MCA,11.2,46.2,6.88,NONE,NONE,Phd,58.4,11-08-2023,63952.0,Partial,,46.2,Low (<50%),Medium (5-8),11-15,Q2
S0002,21,NONE,Mumbai,BBA,14.9,64.3,5.87,No,Mobile,NONE,85.8,29-04-2023,62085.0,Yes,Late enrollment,64.3,Medium (50-75%),Medium (5-8),11-15,Q3
S0003,24,Female,Bengaluru,NONE,13.4,57.7,7.15,No,Tablet,NONE,89.3,29-08-2023,55598.0,Yes,Transferred from another program,57.7,Medium (50-75%),Medium (5-8),11-15,Q3
S0004,28,Female,Remote,ME,8.9,64.6,7.27,No,Laptop,Undergrad,59.4,02-02-2024,54627.0,Partial,Good coder,64.6,Medium (50-75%),Medium (5-8),6-10,Q1
S0005,21,Male,Bengaluru,EE,11.0,52.2,7.22,NONE,Desktop,Phd,55.5,15-01-2024,60370.5,No,,52.2,Medium (50-75%),Medium (5-8),11-15,Q2
S0006,21,Male,Bengaluru,MCA,9.5,98.4,7.17,No,Tablet,High School,75.1,24-08-2024,69382.0,NONE,Good coder,98.4,High (>75%),Medium (5-8),6-10,Q2
S0007,22,Female,Delhi,MCA,9.1,80.6,7.44,Yes,Laptop,Undergrad,70.9,25-06-2025,64349.0,No,Needs scholarship support,80.6,High (>75%),Medium (5-8),6-10,Q2
S0008,25,Male,Pune,ME,16.2,85.7,7.03,Yes,Tablet,NONE,77.5,01-11-2024,57035.0,No,Prefers evening classes,85.7,High (>75%),Medium (5-8),16-20,Q4
S0009,20,Male,Remote,NONE,13.8,92.4,6.51,Yes,Laptop,NONE,71.0,05-03-2025,66174.0,No,Late enrollment,92.4,High (>75%),Medium (5-8),11-15,Q3
S0010,24,NONE,Kolkata,NONE,8.5,74.9,6.54,NONE,Mobile,Postgrad,45.3,22-09-2024,37212.0,No,,74.9,Medium (50-75%),Medium (5-8),6-10,Q1
S0011,20,Male,Chennai,BBA,16.5,50.2,7.16,No,Laptop,High School,91.2,19-08-2025,69190.0,NONE,Transferred from another program,50.2,Medium (50-75%),Medium (5-8),16-20,Q4
S0012,20,NONE,Mumbai,MCA,13.5,77.2,6.55,NONE,Laptop,Phd,94.9,03-02-2023,46082.0,Yes,,77.2,High (>75%),Medium (5-8),11-15,Q3
S0013,23,Male,Kolkata,NONE,16.1,80.2,6.34,Yes,Desktop,High School,58.8,08-11-2023,57100.0,NONE,,80.2,High (>75%),Medium (5-8),16-20,Q4
S0014,16,NONE,Mumbai,CS,15.1,89.7,7.33,Yes,Tablet,NONE,62.2,31-03-2024,51043.0,Partial,Late enrollment,89.7,High (>75%),Medium (5-8),16-20,Q3
S0015,16,Female,Delhi,BBA,7.9,70.9,6.89,No,Laptop,Phd,72.3,25-05-2025,49643.0,No,Needs scholarship support,70.9,Medium (50-75%),Medium (5-8),6-10,Q1
S0016,20,Male,Mumbai,BBA,9.2,52.7,9.0,No,NONE,High School,73.0,12-04-2023,69287.0,NONE,Needs scholarship support,52.7,Medium (50-75%),High (>8),6-10,Q2
S0017,18,Prefer_not_to_say,Bengaluru,EE,15.7,62.0,4.02,NONE,Laptop,NONE,77.9,11-07-2024,56258.0,Partial,,62.0,Medium (50-75%),Low (<5),16-20,Q4
S0018,23,Female,Remote,MCA,15.1,66.8,8.51,No,Desktop,Undergrad,98.2,03-04-2023,62772.0,NONE,Prefers evening classes,66.8,Medium (50-75%),High (>8),16-20,Q3
S0019,19,Male,Chennai,NONE,11.9,83.8,8.7,Yes,Mobile,Phd,65.3,10-10-2023,59625.0,No,Needs scholarship support,83.8,High (>75%),High (>8),11-15,Q2
S0020,17,Other,Hyderabad,NONE,0.0,79.2,4.71,Yes,Laptop,NONE,56.0,05-06-2023,63816.0,No,,79.2,High (>75%),Low (<5),0-5,
S0021,28,Female,Mumbai,MBA,18.4,66.4,6.79,No,NONE,Undergrad,47.3,04-04-2023,60615.0,Partial,Prefers evening classes,66.4,Medium (50-75%),Medium (5-8),16-20,Q4
S0022,21,Male,Kolkata,BSC,9.0,104.2,6.75,No,Desktop,High School,57.0,19-10-2024,49736.0,NONE,Late enrollment,100.0,High (>75%),Medium (5-8),6-10,Q1
S0023,22,Female,Bengaluru,BSC,14.7,81.3,5.51,Yes,Laptop,Phd,67.5,21-02-2023,67970.0,No,Transferred from another program,81.3,High (>75%),Medium (5-8),11-15,Q3
S0024,17,Other,Hyderabad,BSC,11.0,59.2,6.27,Yes,Desktop,Postgrad,94.9,09-07-2023,56050.0,Partial,Late enrollment,59.2,Medium (50-75%),Medium (5-8),11-15,Q2
S0025,20,Male,Chennai,EE,10.9,51.1,5.87,No,Tablet,Postgrad,60.2,16-03-2025,47547.0,NONE,,51.1,Medium (50-75%),Medium (5-8),11-15,Q2
S0026,22,Male,Hyderabad,NONE,17.5,54.2,9.3,NONE,Desktop,NONE,71.4,03-12-2023,56575.0,NONE,Transferred from another program,54.2,Medium (50-75%),High (>8),16-20,Q4
S0027,18,Female,Bengaluru,BSC,0.0,59.8,8.32,Yes,Laptop,NONE,67.8,23-08-2024,72006.0,Partial,,59.8,Medium (50-75%),High (>8),0-5,
S0028,23,Female,Remote,ME,16.1,54.6,7.15,No,Laptop,Phd,70.9,04-12-2025,66802.0,NONE,Late enrollment,54.6,Medium (50-75%),Medium (5-8),16-20,Q4
S0029,22,NONE,Remote,ECE,18.5,56.2,8.07,NONE,Desktop,NONE,70.9,12-03-2023,57211.0,NONE,Good coder,56.2,Medium (50-75%),High (>8),16-20,Q4
S0030,21,Female,Pune,BBA,12.1,62.1,5.85,No,Tablet,High School,60.0,18-03-2025,57206.0,No,Good coder,62.1,Medium (50-75%),Medium (5-8),11-15,Q2
S0031,20,Male,Remote,NONE,15.4,55.4,6.57,Yes,NONE,Postgrad,60.7,10-11-2023,57427.0,No,Late enrollment,55.4,Medium (50-75%),Medium (5-8),16-20,Q3
S0032,29,Male,Pune,NONE,10.4,98.8,7.79,NONE,Laptop,NONE,83.7,14-05-2023,76614.0,No,Needs scholarship support,98.8,High (>75%),Medium (5-8),11-15,Q2
S0033,22,Female,Hyderabad,MBA,13.6,49.8,5.73,Yes,NONE,NONE,78.2,28-03-2025,63055.0,Partial,Needs scholarship support,49.8,Low (<50%),Medium (5-8),11-15,Q3
S0034,18,Male,Delhi,ECE,11.3,76.5,8.06,Yes,Tablet,Phd,95.7,23-04-2023,63440.0,Yes,Transferred from another program,76.5,High (>75%),High (>8),11-15,Q2
S0035,25,Prefer_not_to_say,Kolkata,EE,12.5,69.6,6.91,Yes,Mobile,Postgrad,76.8,15-05-2023,68242.0,NONE,Transferred from another program,69.6,Medium (50-75%),Medium (5-8),11-15,Q3
S0036,17,NONE,Kolkata,BBA,15.0,103.9,6.75,Yes,Laptop,NONE,62.6,01-02-2024,61910.0,Partial,Good coder,100.0,High (>75%),Medium (5-8),11-15,Q3
S0037,23,Female,Hyderabad,EE,7.9,51.7,8.05,No,Mobile,NONE,76.9,25-08-2024,57928.0,Yes,Prefers evening classes,51.7,Medium (50-75%),High (>8),6-10,Q1
